order_number,order_date,product_code,product_line,quantity_ordered,price_each,sales,country,year,month,quarter,continent,region,customer_id,product_id,customer_name,customer_city,customer_country
10107,2003-02-24,S10_1678,Motorcycles,30,95.7,2871.0,United States,2003,2,1,North America,Americas,82,1,Parth Mugeraya,Sasaram,India
10121,2003-05-07,S10_1678,Motorcycles,34,81.35,2765.9,France,2003,5,2,Europe,Europe,15,1,Milorad Španović,Bačka Palanka,Serbia
10134,2003-07-01,S10_1678,Motorcycles,41,94.74,3884.34,France,2003,7,3,Europe,Europe,4,1,Christian Mccoy,Ballybofey-Stranorlar,Ireland
10145,2003-08-25,S10_1678,Motorcycles,45,83.26,3746.7,United States,2003,8,3,North America,Americas,95,1,Meral Sandalcı,Malatya,Turkey
10159,2003-10-10,S10_1678,Motorcycles,49,100.0,5205.27,United States,2003,10,4,North America,Americas,36,1,Evangelino Lopes,Barbacena,Brazil
10168,2003-10-28,S10_1678,Motorcycles,36,96.66,3479.76,United States,2003,10,4,North America,Americas,32,1,Dalia Benavídez,Monte Escobedo,Mexico
10180,2003-11-11,S10_1678,Motorcycles,29,86.13,2497.77,France,2003,11,4,Europe,Europe,29,1,Eeli Keto,Posio,Finland
10188,2003-11-18,S10_1678,Motorcycles,48,100.0,5512.32,Norway,2003,11,4,Europe,Europe,18,1,Roope Niemela,Ylitornio,Finland
10201,2003-12-01,S10_1678,Motorcycles,22,98.57,2168.54,United States,2003,12,4,North America,Americas,95,1,Meral Sandalcı,Malatya,Turkey
10211,2004-01-15,S10_1678,Motorcycles,41,100.0,4708.44,France,2004,1,1,Europe,Europe,14,1,Sofia Sørensen,Beder,Denmark
10223,2004-02-20,S10_1678,Motorcycles,37,100.0,3965.66,Australia,2004,2,1,Oceania,Oceania,87,1,Nihal Kumar,Kakinada,India
10237,2004-04-05,S10_1678,Motorcycles,23,100.0,2333.12,United States,2004,4,2,North America,Americas,95,1,Meral Sandalcı,Malatya,Turkey
10251,2004-05-18,S10_1678,Motorcycles,28,100.0,3188.64,United States,2004,5,2,North America,Americas,70,1,Roksolana Soyka,Kalinivka,Ukraine
10263,2004-06-28,S10_1678,Motorcycles,34,100.0,3676.76,United States,2004,6,2,North America,Americas,12,1,Samuel French,Dorchester,Canada
10275,2004-07-23,S10_1678,Motorcycles,45,92.83,4177.35,France,2004,7,3,Europe,Europe,76,1,José Manuél Palomo,Cuyutlán,Mexico
10285,2004-08-27,S10_1678,Motorcycles,36,100.0,4099.68,United States,2004,8,3,North America,Americas,55,1,Ralph Meyer,Columbia,United States
10299,2004-09-30,S10_1678,Motorcycles,23,100.0,2597.39,Finland,2004,9,3,Europe,Europe,5,1,Ratimir Vlahović,Medveđa,Serbia
10309,2004-10-15,S10_1678,Motorcycles,41,100.0,4394.38,Norway,2004,10,4,Europe,Europe,4,1,Christian Mccoy,Ballybofey-Stranorlar,Ireland
10318,2004-11-02,S10_1678,Motorcycles,46,94.74,4358.04,United States,2004,11,4,North America,Americas,12,1,Samuel French,Dorchester,Canada
10329,2004-11-15,S10_1678,Motorcycles,42,100.0,4396.14,United States,2004,11,4,North America,Americas,28,1,Alexis Chan,Cartwright,Canada
10341,2004-11-24,S10_1678,Motorcycles,41,100.0,7737.93,Austria,2004,11,4,Europe,Europe,30,1,Odete Silva,Cascavel,Brazil
10361,2004-12-17,S10_1678,Motorcycles,20,72.55,1451.0,Australia,2004,12,4,Oceania,Oceania,65,1,Samuel Roberts,Masterton,New Zealand
10375,2005-02-03,S10_1678,Motorcycles,21,34.91,733.11,France,2005,2,1,Europe,Europe,78,1,Patrick Murray,Wollongong,Australia
10388,2005-03-03,S10_1678,Motorcycles,42,76.36,3207.12,United States,2005,3,1,North America,Americas,4,1,Christian Mccoy,Ballybofey-Stranorlar,Ireland
10403,2005-04-08,S10_1678,Motorcycles,24,100.0,2434.56,United Kingdom,2005,4,2,Europe,Europe,72,1,Feliciano Fernandes,Crato,Brazil
10417,2005-05-13,S10_1678,Motorcycles,66,100.0,7516.08,Spain,2005,5,2,Europe,Europe,26,1,Jeff Holt,Salford,United Kingdom
10103,2003-01-29,S10_1949,Classic Cars,26,100.0,5404.62,Norway,2003,1,1,Europe,Europe,92,2,Aatu Makela,Sauvo,Finland
10112,2003-03-24,S10_1949,Classic Cars,29,100.0,7209.11,Sweden,2003,3,1,Europe,Europe,84,2,Lenice Cardoso,Patos,Brazil
